"MeanLength","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
19.5,0,0,0,0.4278012,0,0,0,1.92518097186651,0.0863241938740599,0,0,0,0,0,0
20.5,0,0,0,0.208464,0,3.72589550429629,0,2.61846060836017,1.22587825870668,0.288869068135623,0.0732703846715273,0,0,0,0
21.5,1.2283186,0.4331012,1.85558532,0.208464,0.34074234974196,31.5126724364673,0,4.93572892426813,0.230197850330826,0.288869068135623,0.494505968650794,0,0,0,0.4686514
22.5,7.5680499,1.2993035,1.47165951,14.0293202,4.3599587621918,48.0862655536815,9.72790570885986,19.922809655428,7.7570596636821,1.58893970921037,0,1.17909721665508,3.19889004054319,0,1.2359886
23.5,4.7144415,2.3820564,0.65101532,3.4320508,15.1873856316602,30.3733836842768,22.1195748391042,30.6224608183625,9.81235241283229,4.25961383412505,0,2.09624510605718,0.137976736860289,3.35387946648833,0.9650107
24.5,11.0718692,5.1605511,1.43134757,11.0738174,20.2911954240907,101.060271408828,52.7378589754336,52.6201930062303,26.2231616757338,29.1262859506085,8.34396727393977,2.4991031137611,8.25107519702848,0,1.4707146
25.5,5.5934058,5.6589549,3.12487888,41.2936577,45.0782373692671,112.977348487799,46.4320497645914,64.8268491170919,27.8720174267929,30.4252061954955,10.3135840235351,2.72491769646556,27.3854089055119,7.95185828733367,6.2572716
26.5,42.0812013,7.3184247,10.88253104,57.8870601,126.427199161403,144.169830764328,74.9818473720545,121.346764871943,31.959999892542,37.9740970140149,7.67871987318717,8.0733081225402,36.171698440404,6.48416702143657,7.1140962
27.5,74.4290422,24.4009754,23.37772563,90.9148166,186.84943455396,194.570539644539,94.3889139042973,110.560424565261,52.4087937846256,62.8054680084438,21.9598020584892,11.0422548431025,46.6652268564545,26.6310488009213,14.8090012
28.5,26.7656391,23.5696319,46.3579477,57.6871858,205.460926802788,269.192368376649,144.39309539043,141.042099881852,59.5258653697819,89.2196656284386,13.7455510660677,5.35499173995488,36.8518851480726,25.4487330001959,11.7608812
29.5,147.7937355,53.1543451,57.65503318,145.0657151,246.371565032555,311.301041354909,219.613600703755,188.867521555895,62.3669473936422,82.7276207311859,33.3580742334643,10.9540801150806,142.082864428193,54.6780913778503,35.446496
30.5,76.7246345,75.1437845,136.25537194,238.5694405,299.643222492188,501.920125764294,289.906040691048,296.52232280867,60.2164733875723,129.093325419743,43.9886495143888,10.5760382524767,157.543869020514,84.0186257454945,36.0258451
31.5,82.0745707,91.0167863,118.68298849,181.6234921,276.945025504467,539.743129315054,270.116194092047,256.290862462034,93.266218628262,116.009613985651,74.6148736954387,31.2925623012014,244.841112156277,82.3372510453554,48.6642919
32.5,148.8002367,277.7098349,231.04894161,328.1172429,474.9672362818,713.056420233944,377.993358457904,294.893923661439,128.731315342235,135.257001578152,116.047369752036,38.2451322874371,568.32061579884,216.798167049255,119.5755293
33.5,64.2070343,144.0057426,274.49835877,240.1070027,351.737558168946,411.435950032193,246.747476773574,246.163743132845,108.124702683721,80.2987961870294,78.1585075710708,24.3177191027383,326.79540212778,109.022596604022,47.3616449
34.5,169.1771686,229.5683795,248.27437263,263.277839,351.835697200301,540.790412885605,311.357726988605,327.315121450418,150.026954776054,93.9463156321852,103.993109076333,55.9127697010999,431.58068671848,276.460650672525,118.5228438
