"MeanLength","X2012","X2013","X2014","X2015"
120,10,NA,NA,NA
130,20,NA,20,20
140,18,52,NA,NA
150,NA,NA,50,NA
160,40,34.8262011997001,50,NA
170,55.2961370816171,66.9798274119298,51.1730793891746,43.0378614364078
180,42.470659986392,54.2183006566354,42.8769519643173,60
190,66.3502112050904,78.1176150587299,60.7361201785625,161
200,71.9247721023716,67.5412431828433,79.5833130714329,63.1856758591216
210,98.1040048041764,86.6147408751917,94.9428187890421,86.9208156176036
220,96.0444425684622,96.1182235114882,97.519280070151,109.934370049819
230,117.122012402692,106.578789331067,114.08107346556,122.905565790437
240,130.916655032862,123.416315615471,125.087751305829,134.759699901403
250,146.84826172028,142.438375433379,138.7190268105,152.565484842736
260,169.045715205678,159.471391688002,162.786087828088,173.665280831366
270,186.066574990683,182.805738456805,180.767732985226,198.133147222595
280,204.122329422044,202.235483682664,204.057453954296,214.353063831494
290,230.664680076176,218.867994079753,222.658462429687,245.962257151051
300,256.945242666965,259.496525704358,249.811029206847,267.164907268884
310,280.295619816053,285.805487121728,282.1827556766,288.343102000131
320,315.266188709249,309.366775322475,302.463626252658,306.104216363165
330,344.000579837725,337.440384301776,321.456061058724,335.404617117748
340,370.647469006589,356.769983569687,356.27689513217,363.358997837984
350,405.99054216967,389.497026626483,383.70707418865,395.054850288319
360,443.29104626003,418.893375181556,417.334829134436,425.758200652788
370,475.693400656238,460.123862229824,459.100625365741,465.400988884919
380,523.295304365599,501.164239098886,512.18818086678,508.350183804826
390,564.486881572584,556.405425266463,549.101957899378,549.607969869385
400,601.319842248966,583.658095045311,575.794879339871,592.149973766248
410,640.381006602743,629.970577061951,632.799089264394,638.844860586678
420,685.66366324865,683.057816299243,675.270499637324,683.425016492424
430,740.539440299502,740.253508330517,716.696321763683,723.836573579316
440,792.397799493316,788.296063533598,772.882348353126,765.152611419839
450,862.815420082333,825.878092250926,828.569061181376,825.61501677635
460,904.242911144203,897.641911334448,871.717922318007,874.283091300833
470,958.37259133096,952.607195668045,943.285019661773,933.523503462532
480,1017.88132673421,1006.35086595432,996.017291646065,977.482404427458
490,1073.35391615434,1066.02755901355,1067.09196554289,1031.96035205451
500,1150.34976547653,1125.93219365514,1144.62420525008,1087.31101754323
510,1198.38478882027,1201.75385566909,1228.77288023956,1153.86524977935
520,1291.46640169813,1288.07822049854,1286.91238568618,1222.56884412133
530,1367.70273437094,1342.98758733812,1340.14664260829,1279.55159079219
